Total Number is: 15
item number 0 : [0,255,255,4,9,10,9,10,6,10,7,3,10,6,0,6,8,7,9,8,5,9,4,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,3,10,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,10,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,23,10,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,27,10,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,31,10,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0]
item number 1 : [0,255,255,10,9,8,4,9,10,5,10,9,5,2,7,10,3,7,8,3,10,7,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,9,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0]
item number 2 : [0,255,255,10,9,6,8,8,9,4,0,3,10,6,0,0,2,9,6,1,9,6,10,0,0,0,0,0,0,0,0,230,10,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,8,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,9,4,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,3,6,4,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,4,10,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,8,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,6,9,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,6,3,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,8,10,4,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,9,8,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,9,4,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,11,6,4,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,12,10,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,13,8,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,14,9,4,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,15,6,4,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,16,10,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,17,8,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,18,9,4,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,19,6,4,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,20,10,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,21,8,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,22,9,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,23,6,3,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,24,10,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,25,8,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,26,9,4,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,27,6,4,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,28,10,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,29,8,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,30,9,4,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,31,6,4,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,32,10,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,33,8,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,34,9,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,35,6,3,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,36,10,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,37,8,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,38,9,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,39,6,3,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,40,9,4,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,41,6,4,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,42,10,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,43,8,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,44,9,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,45,6,3,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,46,9,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,47,6,3,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,48,10,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,49,8,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0]
item number 3 : [0,255,255,4,8,7,0,10,6,10,3,2,7,3,8,8,2,10,8,0,6,8,9,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,9,3,2,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,15,3,2,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,49,3,2,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0]
item number 4 : [0,255,255,8,10,9,5,7,3,7,1,8,9,2,9,8,7,9,3,7,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
item number 5 : [0,255,255,10,9,6,10,3,7,1,3,3,10,6,0,6,8,7,9,5,4,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
item number 6 : [0,255,255,6,8,4,9,10,6,10,7,7,8,9,2,5,1,6,8,9,10,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
item number 7 : [0,255,255,4,9,10,1,10,3,9,10,4,8,7,8,9,4,5,1,7,6,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
item number 8 : [0,255,255,8,4,8,7,10,3,10,5,3,10,6,0,4,10,3,2,3,6,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
item number 9 : [0,255,255,10,9,6,8,6,7,7,9,6,3,2,9,2,1,10,4,10,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
item number 10 : [0,255,255,4,10,6,3,10,5,10,3,1,8,4,7,9,2,9,6,6,7,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
item number 11 : [0,255,255,8,7,0,4,10,5,10,6,2,8,7,8,8,3,10,8,10,1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
item number 12 : [0,255,255,6,8,4,9,10,3,9,10,2,7,8,9,8,6,8,9,10,2,9,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,9,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0]
item number 13 : [0,255,255,7,0,4,8,9,3,9,10,4,7,8,9,10,4,8,2,10,2,9,3,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,7,9,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,9,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,31,9,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,33,9,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,38,9,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,40,9,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,44,9,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0]
item number 14 : [0,255,255,9,8,6,8,4,10,3,9,7,4,5,2,9,6,10,3,9,2,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
